record_type,record_number,year,position_in_draw,result,result_code,tournament_stage,player,country,participation,matches_played,matches_won,matches_lost,frames_played,frames_won,frames_lost,match_win_pct,frame_win_pct
tournament,226,1986,2,Last 16,L16,2,Mike Hallett,ENG,5,2,1,1,35,16,19,50,45.71428571
tournament,227,1986,3,Winner,W,6,Joe Johnson,ENG,3,5,5,0,111,70,41,100,63.06306306
tournament,228,1986,4,First Round,1R,1,Dave Martin,ENG,4,1,0,1,13,3,10,0,23.07692308
tournament,229,1986,5,Last 16,L16,2,Alex Higgins,NIR,10,2,1,1,42,22,20,50,52.38095238
tournament,230,1986,6,First Round,1R,1,John Spencer,ENG,10,1,0,1,17,7,10,0,41.17647059
tournament,231,1986,7,Quarter-Finals,QF,3,Terry Griffiths,WAL,8,3,2,1,62,35,27,66.66666667,56.4516129
tournament,232,1986,8,First Round,1R,1,Danny Fowler,ENG,1,1,0,1,12,2,10,0,16.66666667
tournament,233,1986,9,Quarter-Finals,QF,3,Kirk Stevens,CAN,8,3,2,1,63,32,31,66.66666667,50.79365079
tournament,234,1986,10,First Round,1R,1,Dean Reynolds,ENG,4,1,0,1,16,6,10,0,37.5
tournament,235,1986,11,Last 16,L16,2,Eddie Charlton,AUS,10,2,1,1,41,22,19,50,53.65853659
tournament,236,1986,12,First Round,1R,1,Cliff Wilson,WAL,5,1,0,1,16,6,10,0,37.5
tournament,237,1986,13,Last 16,L16,2,Silvino Francisco,RSA,5,2,1,1,37,20,17,50,54.05405405
tournament,238,1986,14,First Round,1R,1,Rex Williams,ENG,6,1,0,1,14,4,10,0,28.57142857
tournament,239,1986,15,Semi-Finals,SF,4,Tony Knowles,ENG,6,4,3,1,88,44,44,75,50
tournament,240,1986,16,First Round,1R,1,Neal Foulds,ENG,3,1,0,1,19,9,10,0,47.36842105
tournament,241,1986,17,Semi-Finals,SF,4,Cliff Thorburn,CAN,10,4,3,1,81,48,33,75,59.25925926
